Heit(km)	Oden(m-3)	O2den(m-3)	Nden(m-3)	N2den(m-3)	Air(m-3)	T(eV)	Q_O(s-1)	Q_O2(s-1)	Q_N(s-1)	Q_N2(s-1)
660.0	1464000000000.0	26880000.0	16090000000.0	4685000000.0	4.909e-14	0.085861875	1.1045921598240718e+16	202810363770.97714	121399507182850.52	35348458120053.12
670.0	1253000000000.0	19700000.0	14050000000.0	3569000000.0	4.303e-14	0.085861875	9447203784538096.0	148531456149.56143	105932332939154.22	26909074466892.63
680.0	1073000000000.0	14440000.0	12260000000.0	2720000000.0	3.782e-14	0.085861875	8084323906256886.0	108795561236.11317	92370746589663.95	20493346714835.723
690.0	919000000000.0	10600000.0	10710000000.0	2075000000.0	3.334e-14	0.085861875	6919133387007037.0	79807196846.87115	80635384738678.31	15622635231816.76
700.0	787700000000.0	7788000.0	9359000000.0	1584000000.0	2.948e-14	0.085861875	5926382533846623.0	58594220101.05053	70413881089590.64	11917468495128.92
710.0	675400000000.0	5726000.0	8181000000.0	1211000000.0	2.615e-14	0.085861875	5077886268844748.0	43050010031.69237	61507532670149.37	9104708723084.082
720.0	579400000000.0	4214000.0	7153000000.0	925700000.0	2.327e-14	0.085861875	4353052604519625.0	31659930402.90939	53740740904606.28	6954816700041.106
730.0	497200000000.0	3103000.0	6258000000.0	708300000.0	2.077e-14	0.085861875	3732849562284541.0	23296524923.10726	46983452455303.01	5317734000334.151
740.0	426900000000.0	2288000.0	5476000000.0	542400000.0	1.861e-14	0.085861875	3202800566039475.5	17165630581.162615	41083475988831.5	4069334802107.781
750.0	366700000000.0	1688000.0	4794000000.0	415700000.0	1.672e-14	0.085861875	2749219750853530.0	12655257538.698551	35941531185142.69	3116582084619.069
760.0	315100000000.0	1246000.0	4198000000.0	318800000.0	1.508e-14	0.085861875	2360707503298329.5	9334946204.727764	31451126940166.254	2388427648529.062
770.0	270900000000.0	921000.0	3678000000.0	244700000.0	1.365e-14	0.085861875	2028142385360090.5	6895234909.25302	27536019539883.4	1831991294564.8362
780.0	233000000000.0	681300.0	3223000000.0	188000000.0	1.24e-14	0.085861875	1743176820226056.8	5097108873.905633	24112699105530.39	1406511769109.4365
790.0	200500000000.0	504299.99999999994	2826000000.0	144500000.0	1.13e-14	0.085861875	1498981965988097.5	3770257383.7795386	21127795690186.35	1080313686210.8733
800.0	172500000000.0	373700.0	2479000000.0	111100000.0	1.034e-14	0.085861875	1288748176303146.5	2791914165.1274543	18520618719162.32	830028535578.4324
810.0	148600000000.0	277100.0	2175000000.0	85540000.0	9.489e-15	0.085861875	1109417799586340.4	2068773030.0496292	16238113823016.758	638624485710.7372
820.0	128000000000.0	205600.0	1909000000.0	65900000.00000001	8.738e-15	0.085861875	954957549901589.8	1533900564.5294285	14242296584079.178	491653926082.14667
830.0	110300000000.0	152700.0	1676000000.0	50800000.0	8.072e-15	0.085861875	822333165957286.0	1138443104.6389627	12495289085624.764	378735492571.4427
840.0	95110000000.0	113500.0	1472000000.0	39190000.0	7.481e-15	0.085861875	708593381345036.1	845603498.9239995	10966769607190.549	291975340289.2647
850.0	82040000000.0	84480.0	1293000000.0	30250000.0	6.954e-15	0.085861875	610795171328784.8	628961190.5638193	9626501176598.229	225213967975.32593
860.0	70790000000.0	62900.0	1137000000.0	23370000.0	6.482e-15	0.085861875	526673304511105.1	467972183.27092123	8459211007615.857	173871381924.34705
870.0	61110000000.0	46870.0	999500000.0	18070000.0	6.06e-15	0.085861875	454340595343788.4	348469050.9534178	7431082065883.104	134346826343.67952
880.0	52780000000.0	34960.0	879100000.0	13980000.0	5.68e-15	0.085861875	392137995710693.6	259741271.88415784	6531423115370.799	103866790072.66953
